-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin1 (V/A) 	 pLkin1 (deg.) 	 XLkin1 (Ohm) 	 RLkin2 (V/A) 	 pLkin2 (deg.) 	 XLkin2 (Ohm)
1700557820.3842914	13.600000000000001	3.077216e-10	10605.9	6.87	10529.750797683697	469.2575	5.514	467.086127818753
1700557821.5867307	13.8	3.180634e-10	10604.0	6.87	10527.864439475945	469.115	5.496	466.95842544631444
1700557822.8393912	14.0	3.18476e-10	10593.5	6.876	10517.307073675629	468.97249999999997	5.508	466.80716302092804
1700557824.0555036	14.200000000000001	3.241201e-10	10591.6	6.876	10515.420739278123	468.73499999999996	5.478	466.5942530913722
1700557825.2523022	14.4	3.356152e-10	10589.7	6.882	10513.401582555092	468.59	5.472	466.4545972154262
1700557826.4806888	14.600000000000001	3.339678e-10	10589.7	6.882	10513.401582555092	468.4	5.478	466.2607830607886
1700557827.7283645	14.8	3.347913e-10	10587.8	6.882	10511.515271988515	468.305	5.472	466.17089598363214
1700557828.951451	14.799999999999997	2.545302e-10	10589.7	6.882	10513.401582555092	469.45	5.502	467.2871744243719
1700557830.1588864	14.599999999999998	1.762045e-10	10623.0	6.858	10546.99392325378	473.645	5.484	471.47709118781273
1700557831.3829763	14.399999999999995	1.514828e-10	10666.0	6.894	10588.883936709768	479.60499999999996	5.466	477.4241876824722
1700557832.6326742	14.199999999999996	1.335187e-10	10714.6	6.882	10637.401682431493	486.23499999999996	5.454	484.0337302597169
1700557833.8520458	13.999999999999996	1.204164e-10	10756.6	6.864	10679.503469623183	492.38499999999993	5.436	490.17056645780065
1700557835.0498538	13.799999999999997	1.039354e-10	10803.3	6.858	10726.003902013324	498.87000000000006	5.418	496.6412236819505
1700557836.25799	13.599999999999996	9.396441e-11	10851.0	6.888	10772.682707367889	505.68999999999994	5.4	503.44572988013147
1700557837.5325942	13.399999999999997	8.514723e-11	10898.6	6.858	10820.6220438646	512.6025	5.376	510.34771397849426
1700557838.7539802	13.199999999999996	8.098584e-11	10947.3	6.84	10869.383737007121	519.2775	5.358	517.0086115311442
1700557839.972089	12.999999999999996	6.335126e-11	10995.9	6.876	10916.812842915924	526.2875	5.34	524.0033957784864
1700557841.180516	12.799999999999997	6.211513e-11	11046.5	6.864	10967.325649107757	533.3924999999999	5.322	531.0931286878056
1700557842.3786733	12.599999999999996	5.655282e-11	11095.1	6.84	11016.13178596254	540.7375	5.298	538.427427179063
1700557843.5801215	12.399999999999997	5.193821e-11	11148.5	6.864	11068.594577384496	548.365	5.274	546.0435034107884
1700557844.8337765	12.199999999999998	4.612867e-11	11203.8	6.858	11123.638380622298	556.4725000000001	5.244	554.1433866559545
1700557846.049881	11.999999999999996	3.838253e-11	11257.2	6.828	11177.358606687201	564.0525	5.232	561.7024454914562
1700557847.2433586	11.799999999999997	3.269637e-11	11312.5	6.852	11231.702042802503	572.1125	5.214	569.7452261530424
1700557848.443161	11.599999999999998	2.861718e-11	11370.699999999999	6.846	11289.62835649361	580.6475	5.19	578.2669624345618
1700557849.7177613	11.399999999999997	2.371386e-11	11431.800000000001	6.81	11351.146680065867	589.5649999999999	5.16	587.1757462125677
1700557850.9624455	11.199999999999998	2.227173e-11	11488.0	6.84	11406.23536129802	597.8125	5.136	595.4122917018698
1700557852.1602542	10.999999999999996	1.337169e-11	11549.1	6.834	11467.04446392185	606.6825	5.112	604.2693752113562
1700557853.3640494	10.799999999999997	8.880435e-12	11610.1	6.798	11528.476824095254	615.885	5.094	613.452481473593
1700557854.6050935	10.599999999999998	7.685508e-12	11677.800000000001	6.828	11594.975512309617	625.8050000000001	5.064	623.3623095683429
1700557855.8544087	10.399999999999997	-6.088532e-14	11738.800000000001	6.81	11655.980742136602	634.8175	5.04	632.3630474222459
1700557857.0472312	10.199999999999998	-3.43962e-12	11803.7	6.786	11721.008117447556	644.3525000000001	5.022	641.8789333674816
1700557858.2493675	9.999999999999996	-4.84052e-12	11871.400000000001	6.816	11787.497749923772	654.3199999999999	4.992	651.838071076888
1700557859.4531739	9.799999999999997	-5.747e-12	11939.099999999999	6.786	11855.459560563053	664.4275	4.962	661.9374136754283
1700557860.6489906	9.599999999999998	-9.661483e-12	12008.7	6.804	11924.125602348347	674.965	4.938	672.4598177361103
1700557861.8747215	9.399999999999997	-1.629525e-11	12079.3	6.786	11994.677376846603	685.265	4.92	682.7400858475745
1700557863.0941203	9.199999999999998	-1.485308e-11	12150.8	6.78	12065.826762893625	695.995	4.884	693.4679188862204
1700557864.2929218	8.999999999999998	-2.243482e-11	12225.2	6.792	12139.403922203275	706.7225	4.86	704.1816104504604
1700557865.4900868	8.799999999999997	-2.156934e-11	12299.6	6.756	12214.19333671785	717.93	4.836	715.3742310953211
1700557866.7018478	8.599999999999998	-3.10464e-11	12375.9	6.78	12289.352588709815	729.0875	4.806	726.5240947424387
1700557867.8965573	8.399999999999999	-3.471372e-11	12451.2	6.756	12364.74064800004	740.53	4.77	737.9652012016026
1700557869.099118	8.199999999999998	-3.18706e-11	12530.400000000001	6.768	12443.081688156766	752.2125	4.746	749.6333748390911
1700557870.2979212	7.999999999999998	-3.772154e-11	12608.599999999999	6.75	12521.202946361882	763.895	4.716	761.3088078184655
1700557871.4977217	7.799999999999997	-4.064706e-11	12690.6	6.756	12602.478288639593	775.865	4.68	773.2782102541225
1700557872.706503	7.599999999999998	-4.077066e-11	12771.7	6.738	12683.486534134914	787.9325	4.65	785.3390297540319
1700557873.9066577	7.399999999999999	-4.192422e-11	12853.699999999999	6.744	12764.762164776983	800.0425	4.62	797.4430203290603
1700557875.1559768	7.1999999999999975	-4.596227e-11	12942.4	6.732	12853.166467135843	812.965	4.584	810.3645163004581
1700557876.374725	6.999999999999998	-5.049471e-11	13023.4	6.732	12933.607999142117	824.8874999999999	4.554	822.2832848146375
1700557877.5675468	6.799999999999997	-5.201926e-11	13107.4	6.72	13017.35036971818	837.285	4.512	834.6901528367471
1700557878.7653546	6.599999999999998	-5.642813e-11	13197.0	6.72	13106.334805466442	850.445	4.476	847.8512372701235
1700557880.0552716	6.399999999999999	-5.292587e-11	13286.7	6.708	13195.743896157051	863.6049999999999	4.428	861.0272609991031
1700557881.2740235	6.1999999999999975	-5.618103e-11	13373.400000000001	6.708	13281.85037826298	876.2425000000001	4.386	873.6763961995782
1700557882.4924235	5.999999999999998	-6.227922e-11	13462.099999999999	6.696	13370.272219447517	889.1175	4.344	886.563296559668
1700557883.7041955	5.799999999999998	-6.219658e-11	13551.8	6.696	13459.360357114334	902.23	4.302	899.6879811095988
1700557884.9011338	5.599999999999998	-6.751201e-11	13642.400000000001	6.684	13549.675218755989	915.4850000000001	4.248	912.9699533942231
1700557886.096819	5.399999999999999	-7.253882e-11	13736.800000000001	6.684	13643.43360002692	929.4575	4.188	926.9756573069038
1700557887.3467515	5.199999999999998	-7.01901e-11	13830.2	6.666	13736.703816180005	942.76	4.152	940.2857104746815
1700557888.5456436	4.999999999999998	-7.266281e-11	13923.7	6.678	13829.232912299378	956.255	4.092	953.8172728074763
1700557889.7560625	4.799999999999999	-7.443436e-11	14019.1	6.654	13924.667324390395	970.035	4.038	967.6269527360578
1700557891.0040822	4.599999999999999	-7.402215e-11	14118.300000000001	6.66	14023.027721517461	984.4375000000001	3.96	982.0871617309788
1700557892.2058957	4.399999999999999	-7.62887e-11	14211.7	6.636	14116.486617914692	997.8825	3.9	995.5716823751709
1700557893.4272797	4.199999999999998	-8.230447e-11	14309.0	6.648	14212.788108340359	1012.235	3.822	1009.9837361026606
1700557894.7028825	3.9999999999999982	-8.185107e-11	14412.9	6.618	14316.861197576496	1027.3525	3.744	1025.1598901523857
1700557895.954546	3.799999999999999	-8.288126e-11	14508.3	6.63	14411.274996318489	1040.7975	3.672	1038.6607797275174
1700557897.1583357	3.5999999999999988	-8.786694e-11	14606.5	6.612	14509.347369285562	1055.295	3.588	1053.2264712670838
1700557898.360135	3.3999999999999986	-9.227552e-11	14709.5	6.618	14611.48483551204	1070.0275000000001	3.504	1068.0271199669062
1700557899.6231267	3.1999999999999993	-9.272919e-11	14814.4	6.612	14715.864558076475	1085.4775	3.408	1083.5578737046503
1700557900.8834276	2.999999999999999	-8.910329e-11	14913.6	6.6	14814.764077058073	1099.64	3.318	1097.7966548573756
1700557902.0792243	2.799999999999999	-9.31823e-11	15015.7	6.594	14916.368086460387	1114.3274999999999	3.21	1112.5791271553267
1700557903.277371	2.5999999999999988	-9.829149e-11	15119.6	6.576	15020.125478630016	1129.395	3.096	1127.7465839678102
1700557904.473845	2.3999999999999986	-9.46246e-11	15224.5	6.582	15124.152658489827	1144.3200000000002	2.982	1142.7705075273373
1700557905.6706557	2.1999999999999993	-1.055026e-10	15334.199999999999	6.558	15233.86452701877	1160.2450000000001	2.85	1158.809924940023
1700557906.9063606	1.9999999999999991	-1.031536e-10	15438.1	6.564	15336.89996083153	1175.5049999999999	2.724	1174.1767445037644
1700557908.1071613	1.799999999999999	-1.026182e-10	15546.900000000001	6.558	15445.172778176113	1191.335	2.58	1190.1273956522941
1700557909.3298995	1.5999999999999992	-1.087571e-10	15654.7	6.546	15552.641533243299	1207.0725	2.424	1205.9924134748453
1700557910.5257158	1.3999999999999995	-1.09623e-10	15764.400000000001	6.546	15661.62636056013	1223.1875	2.262	1222.2343822315197
1700557911.724518	1.1999999999999993	-1.099935e-10	15875.0	6.522	15772.26200888662	1239.5925	2.082	1238.7741909745089
1700557912.920694	0.9999999999999991	-1.150618e-10	15988.5	6.528	15884.837209378977	1256.28	1.89	1255.5965678376813
1700557914.1211345	0.7999999999999994	-1.154734e-10	16104.8	6.51	16000.95758397419	1273.4475	1.68	1272.9001145712475
1700557915.3209364	0.5999999999999996	-1.143612e-10	16220.2	6.504	16115.80598471131	1290.805	1.452	1290.3905278363973
1700557916.522082	0.39999999999999947	-1.167098e-10	16340.400000000001	6.504	16235.23237152296	1308.4475	1.194	1308.1633982048475
1700557917.714557	0.1999999999999993	-1.209954e-10	16459.600000000002	6.474	16354.639161336758	1326.5674999999999	0.918	1326.3972331253035
1700557918.9097283	-4.440892098500626e-16	-1.209948e-10	16583.600000000002	6.48	16477.652529139614	1345.1625	0.606	1345.0872614025773
