----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656496391.6126680	1.77500	0.588142	2103.890000000	-10.06	2071.569119557	49.577000000	-1.17	49.566663783
1656496393.8347459	1.77000	0.603960	2129.525000000	-10.09	2096.615322266	50.001400000	-1.05	49.993003982
1656496394.9112360	1.77700	0.611150	2153.940000000	-10.10	2120.534403819	50.249400000	-0.98	50.241989711
1656496396.5126071	1.77400	0.621216	2173.165000000	-10.13	2139.301356640	50.545000000	-1.00	50.537363213
1656496397.6136720	1.77500	0.628406	2193.920000000	-10.15	2159.611631007	50.726200000	-0.91	50.719858319
1656496399.2107680	1.77000	0.639910	2202.310000000	-10.16	2167.789128641	51.026600000	-0.85	51.021037703
1656496400.8105099	1.77200	0.649976	2225.960000000	-10.18	2190.903783817	51.346200000	-0.76	51.341730383
1656496401.9125681	1.77300	0.657166	2241.525000000	-10.20	2206.099060153	51.565400000	-0.68	51.561725568
1656496403.5123000	1.77400	0.668670	2259.380000000	-10.22	2223.546067339	51.889800000	-0.61	51.886839906
1656496406.6426029	1.77200	0.688802	2293.405000000	-10.25	2256.818100070	52.428600000	-0.39	52.427385436
1656496408.9015801	1.77200	0.704620	2319.040000000	-10.28	2281.827804141	52.829000000	-0.37	52.827886522
1656496410.0089741	1.77200	0.711810	2326.670000000	-10.28	2289.291884905	53.019800000	-0.35	53.018788029
1656496411.8361120	1.77300	0.723314	2355.355000000	-10.31	2317.295569771	53.253400000	-0.13	53.253258675
1656496413.4245219	1.77800	0.734818	2372.750000000	-10.33	2334.275912119	53.487200000	-0.13	53.487070665
1656496414.5215960	1.77100	0.742008	2379.465000000	-10.34	2340.792596574	53.706400000	-0.11	53.706293693
1656496416.1286690	1.77300	0.752074	2397.165000000	-10.36	2358.069586430	53.954400000	-0.01	53.954399704
1656496417.2257431	1.77400	0.759264	2410.900000000	-10.37	2371.489708498	54.154600000	0.11	54.154503793
1656496418.8264780	1.77200	0.770768	2420.665000000	-10.39	2381.003736791	54.283400000	0.12	54.283280943
1656496419.9275401	1.77200	0.777958	2434.395000000	-10.40	2394.416809102	54.474200000	0.13	54.474068279
1656496421.5272830	1.76900	0.788024	2446.910000000	-10.41	2406.633737338	54.703000000	0.13	54.702854828
1656496422.6303461	1.77100	0.795214	2452.705000000	-10.42	2412.286928285	54.889000000	0.25	54.888469103
1656496424.2287209	1.77200	0.806718	2471.630000000	-10.44	2430.712672023	55.113200000	0.44	55.111545205
1656496425.8298061	1.77500	0.816784	2493.295000000	-10.46	2451.876954414	55.489800000	0.53	55.487443851
1656496426.9494669	1.77200	0.823974	2500.630000000	-10.46	2459.042561174	55.480400000	0.54	55.477935955
1656496428.5332470	1.77200	0.835478	2514.670000000	-10.48	2472.753357906	55.609000000	0.59	55.606011599
1656496429.8138330	1.77600	0.844106	2528.400000000	-10.49	2486.109945778	55.742600000	0.65	55.739035018
1656496430.8703711	1.77100	0.851296	2532.370000000	-10.49	2490.013543502	55.904600000	0.62	55.901284591
1656496431.9311850	1.77000	0.858486	2543.355000000	-10.51	2500.717735194	56.133600000	0.82	56.127907270
1656496433.7323971	1.76700	0.869990	2554.340000000	-10.52	2511.420978183	56.353000000	0.80	56.347534366
1656496434.8304560	1.77200	0.877180	2567.770000000	-10.53	2524.527095673	56.434000000	0.81	56.428360659
1656496436.0392339	1.77100	0.885808	2577.535000000	-10.54	2534.028935678	56.586600000	0.91	56.579525664
1656496437.1366720	1.77500	0.892998	2587.300000000	-10.55	2543.529916172	56.739200000	0.81	56.733530161
1656496438.8317931	1.77700	0.903064	2603.780000000	-10.57	2559.631178606	56.906000000	0.95	56.898111953
1656496439.9318571	1.77200	0.911692	2608.050000000	-10.58	2563.728560802	57.106400000	1.01	57.097562704
1656496441.0339200	1.77300	0.918882	2616.595000000	-10.58	2572.078031251	57.125400000	0.96	57.117381626
1656496442.1373320	1.76900	0.926072	2625.445000000	-10.59	2580.726949843	57.268400000	1.10	57.257884470
1656496443.7357199	1.77400	0.936138	2640.400000000	-10.61	2595.274653364	57.516400000	1.19	57.503911526
1656496444.9345191	1.77300	0.944766	2647.420000000	-10.61	2602.123628674	57.678600000	1.23	57.665309755
1656496446.0365860	1.76800	0.951956	2651.080000000	-10.62	2605.669857815	57.773800000	1.38	57.757043132
1656496447.1386449	1.77300	0.959146	2663.290000000	-10.63	2617.619299775	57.864400000	1.42	57.846729835
1656496448.7403729	1.77300	0.969212	2675.190000000	-10.64	2629.211862119	58.021800000	1.44	58.003476094
1656496449.8414371	1.77300	0.976402	2683.125000000	-10.65	2636.906688266	58.169600000	1.45	58.151076018
1656496451.1419730	1.77300	0.986468	2692.280000000	-10.66	2645.851869699	58.136200000	1.42	58.118296074
1656496452.2420421	1.77000	0.993658	2698.080000000	-10.67	2651.447300161	58.374800000	1.52	58.354151216
1656496453.9634490	1.77100	1.005162	2708.455000000	-10.67	2661.590462858	58.665600000	1.49	58.645657259
1656496455.0449290	1.77500	1.012352	2719.745000000	-10.69	2672.579546988	58.770400000	1.58	58.747942258
1656496456.8048780	1.77500	1.023856	2731.645000000	-10.70	2684.167034736	58.746600000	1.73	58.719884578
1656496458.3700609	1.77200	1.033922	2739.275000000	-10.70	2691.611155279	58.942200000	1.73	58.915209177
1656496459.4468341	1.77200	1.041112	2746.905000000	-10.71	2699.054949495	59.166200000	1.79	59.137199345
1656496461.0469229	1.76900	1.051178	2754.230000000	-10.72	2706.145091692	59.328400000	1.83	59.298141135
1656496462.1516271	1.77300	1.059806	2763.690000000	-10.73	2715.386075251	59.309400000	1.86	59.278151008
1656496463.7503631	1.77100	1.069872	2771.625000000	-10.73	2723.128343988	59.519200000	1.99	59.483231962
1656496464.8484340	1.77200	1.077062	2781.085000000	-10.75	2732.314272528	59.690800000	2.00	59.654292399
1656496466.1533189	1.77400	1.085690	2788.105000000	-10.75	2739.156711361	59.786200000	2.03	59.748753067
1656496467.2513840	1.76400	1.092880	2793.295000000	-10.76	2744.201009315	59.957800000	2.10	59.917531969
1656496468.8690779	1.77200	1.104384	2804.585000000	-10.77	2755.182876637	60.062800000	2.13	60.021300821
1656496469.9511721	1.77300	1.111574	2811.300000000	-10.78	2761.724564923	60.153400000	2.17	60.110183205
1656496471.0528920	1.77100	1.118764	2815.875000000	-10.78	2766.218887793	60.267800000	2.26	60.221087602
1656496472.1583080	1.77200	1.125954	2823.505000000	-10.79	2773.603711635	60.344000000	2.28	60.296228243
1656496473.7546899	1.77300	1.136020	2832.660000000	-10.79	2782.541372335	60.463200000	2.35	60.412522964
1656496475.0546000	1.77300	1.146086	2839.070000000	-10.80	2788.782264926	60.601600000	2.21	60.556606143
1656496476.6612980	1.77600	1.156152	2847.005000000	-10.81	2796.464922070	60.792200000	2.36	60.740462441
1656496478.7567101	1.77200	1.170532	2858.905000000	-10.82	2808.041290439	61.002000000	2.45	60.946329442
1656496479.8577650	1.77100	1.177722	2863.485000000	-10.82	2812.539806168	61.068800000	2.54	61.008895928
1656496481.5552530	1.77200	1.189226	2873.555000000	-10.84	2822.317565184	61.250000000	2.54	61.189918184
1656496482.6609490	1.77500	1.196416	2880.270000000	-10.84	2828.856112351	61.297800000	2.66	61.231851991
1656496484.2596879	1.77100	1.206482	2886.065000000	-10.85	2834.490804421	61.355000000	2.69	61.287492260
1656496486.3890090	1.77600	1.220862	2899.800000000	-10.86	2847.865993946	61.660200000	2.63	61.595350856
1656496487.4601531	1.77000	1.228052	2902.850000000	-10.87	2850.804080389	61.722000000	2.69	61.653784997
1656496488.5602231	1.77200	1.235242	2908.955000000	-10.87	2856.742180969	61.788800000	2.72	61.718982081
1656496489.7171390	1.76900	1.242432	2914.450000000	-10.88	2862.080969990	61.831800000	2.81	61.757558984
1656496491.2803431	1.77000	1.253936	2921.770000000	-10.88	2869.211681386	61.979600000	2.90	61.900335690
1656496492.3580980	1.77000	1.261126	2927.265000000	-10.89	2874.549936982	62.022600000	2.92	61.941961767
1656496493.9621780	1.77500	1.271192	2935.505000000	-10.90	2882.583456525	62.261000000	2.95	62.178716902
1656496495.0638869	1.76900	1.278382	2940.695000000	-10.90	2887.621664298	62.308600000	3.02	62.221836814
1656496496.7636991	1.76900	1.289886	2946.795000000	-10.91	2893.553193216	62.475600000	3.01	62.389293185
1656496498.9728220	1.77000	1.304266	2957.170000000	-10.92	2903.623476303	62.628000000	3.11	62.535881086
1656496500.0605659	1.77100	1.312894	2962.970000000	-10.93	2909.259658531	62.723400000	3.11	62.630784294
1656496501.7939460	1.76400	1.322960	2968.770000000	-10.93	2914.954520787	62.852200000	3.16	62.756511725
1656496503.8644240	1.76800	1.337340	2978.535000000	-10.94	2924.424204532	63.028600000	3.19	62.931181366
1656496505.0632291	1.77200	1.345968	2984.335000000	-10.94	2930.059520948	63.028600000	3.25	62.927478555
1656496506.6689451	1.77200	1.356034	2989.215000000	-10.95	2934.791324757	62.981000000	3.26	62.879206645
1656496508.7673571	1.76900	1.370414	2998.675000000	-10.96	2944.019424524	63.352800000	3.36	63.243895797
1656496509.8694129	1.76800	1.377604	3003.865000000	-10.96	2949.055027933	63.481600000	3.37	63.372084418
1656496510.9734721	1.76700	1.384794	3007.525000000	-10.97	2952.588339897	63.586600000	3.43	63.472560568
1656496512.0735390	1.76500	1.391984	3011.800000000	-10.97	2956.785251029	63.653200000	3.52	63.533386316
1656496513.8451791	1.76900	1.403488	3018.820000000	-10.97	2963.616857499	63.763000000	3.52	63.642979641
1656496514.9019959	1.77100	1.410678	3022.785000000	-10.98	2967.449077244	63.820200000	3.55	63.698013919
1656496515.9695170	1.76700	1.417868	3027.060000000	-10.99	2971.585425150	63.977600000	3.55	63.854697844
1656496517.0915229	1.76400	1.426496	3031.025000000	-10.99	2975.417257158	64.158800000	3.86	64.012955317
1656496518.6779339	1.76900	1.436562	3037.435000000	-10.99	2981.709658118	64.182600000	3.65	64.052551608
1656496519.9096501	1.76600	1.445190	3042.315000000	-11.00	2986.439366101	64.278000000	3.64	64.148613463
1656496520.9761610	1.76700	1.450942	3045.980000000	-11.00	2989.976185510	64.492600000	3.70	64.358027488
1656496522.0748780	1.76500	1.459570	3049.945000000	-11.00	2993.868284465	64.535400000	3.71	64.400301473
1656496523.6819489	1.76100	1.469636	3055.745000000	-11.01	2999.500548197	64.554600000	3.71	64.419023737
1656496524.7786701	1.76800	1.476826	3060.015000000	-11.02	3003.630739034	64.745200000	3.70	64.610537821
1656496526.0093880	1.77000	1.485454	3064.900000000	-11.02	3008.364381661	64.835800000	3.76	64.696537160
1656496527.0768909	1.76100	1.492644	3068.560000000	-11.03	3011.895416764	64.859600000	3.79	64.717603666
1656496528.9036739	1.76400	1.504148	3074.360000000	-11.03	3017.588312916	64.998000000	3.87	64.849788622
1656496529.9781549	1.76300	1.511338	3078.325000000	-11.03	3021.418413847	65.055200000	3.81	64.911420599
1656496531.7241549	1.76800	1.522842	3084.735000000	-11.04	3027.648074888	65.212600000	3.87	65.063899282
1656496533.7846630	1.76500	1.537222	3091.450000000	-11.05	3034.176795115	65.436600000	4.00	65.277040356
1656496534.9778349	1.76200	1.545850	3095.110000000	-11.05	3037.706871842	65.470000000	4.03	65.308439227
1656496536.5832009	1.76700	1.555916	3100.605000000	-11.05	3043.099959410	65.565400000	4.02	65.404085505
1656496537.8278799	1.76500	1.564544	3104.570000000	-11.06	3046.929082762	65.622600000	4.05	65.458727008
1656496538.8933971	1.76700	1.571734	3107.930000000	-11.06	3050.164258295	65.689400000	4.13	65.518983539
1656496539.9801459	1.76900	1.578924	3111.590000000	-11.07	3053.693683332	65.775200000	4.14	65.603567853
1656496541.6041679	1.76500	1.588990	3116.170000000	-11.07	3058.188464801	65.908800000	4.18	65.733816596
1656496542.6829441	1.76800	1.596180	3119.525000000	-11.08	3061.418298220	66.013600000	4.22	65.834796854
1656496544.2800419	1.76500	1.607684	3124.715000000	-11.08	3066.511625238	66.152000000	4.22	65.972821986
1656496545.8807759	1.76200	1.617750	3129.290000000	-11.08	3070.938436435	66.261600000	4.21	66.082635130
1656496547.0785780	1.76600	1.626378	3133.260000000	-11.09	3074.771323335	66.385600000	4.27	66.201675457
1656496548.6849389	1.77000	1.636444	3138.140000000	-11.09	3079.560228200	66.395200000	4.30	66.208653762
1656496549.9748471	1.76500	1.645072	3141.805000000	-11.09	3083.093522759	66.452400000	4.22	66.271896129
1656496551.5762300	1.76600	1.655138	3146.380000000	-11.10	3087.519612132	66.662200000	4.28	66.476469097
1656496552.7394719	1.76300	1.663766	3149.740000000	-11.10	3090.816755483	66.790800000	4.35	66.598397249
1656496554.2969790	1.76300	1.673832	3154.620000000	-11.11	3095.541846879	66.857600000	4.37	66.663408404
1656496555.8897331	1.76900	1.685336	3159.200000000	-11.11	3099.972331758	66.953000000	4.39	66.756389469
1656496556.9828179	1.76500	1.692526	3162.555000000	-11.12	3103.200588408	67.024600000	4.44	66.823455775
1656496558.8568211	1.76400	1.704030	3167.745000000	-11.12	3108.293183178	67.148600000	4.38	66.952490598
1656496559.9269710	1.76500	1.711220	3170.490000000	-11.12	3110.986665383	67.296400000	4.50	67.088947658
1656496560.9821551	1.76600	1.718410	3173.540000000	-11.12	3113.915322592	67.325000000	4.52	67.115796711
1656496562.0915589	1.76900	1.725600	3176.290000000	-11.12	3116.613655411	67.387000000	4.48	67.180926052
1656496563.6859491	1.76400	1.737104	3179.950000000	-11.13	3120.140626605	67.463200000	4.58	67.247401101
1656496564.9007089	1.76400	1.744294	3183.615000000	-11.14	3123.672321469	67.549000000	4.60	67.331227318
1656496565.9888101	1.76700	1.751484	3186.055000000	-11.14	3126.066379942	67.611000000	4.63	67.390749237
1656496567.0928669	1.76600	1.758674	3188.800000000	-11.14	3128.759695723	67.744600000	4.66	67.521043985
1656496568.6876140	1.76300	1.770178	3193.990000000	-11.14	3133.787358877	67.840000000	4.61	67.620718791
1656496569.7826941	1.76300	1.777368	3197.040000000	-11.15	3136.715157202	67.992600000	4.63	67.771106131
1656496570.9954619	1.76800	1.785996	3199.175000000	-11.15	3138.809871957	68.078400000	4.61	67.857775089
1656496572.0819211	1.76700	1.793186	3201.925000000	-11.15	3141.443135906	68.064000000	4.58	67.846279283
1656496573.7484751	1.76300	1.803252	3206.805000000	-11.16	3146.165976790	68.202400000	4.66	67.976753130
1656496574.8132851	1.76400	1.810442	3208.635000000	-11.16	3147.961372437	68.288200000	4.69	68.059353805
1656496575.8864250	1.76500	1.817632	3211.690000000	-11.16	3150.958603968	68.378800000	4.70	68.148477226
1656496576.9834991	1.76400	1.824822	3214.130000000	-11.17	3153.287302098	68.455000000	4.79	68.216116888
1656496578.5865879	1.76800	1.836326	3217.795000000	-11.17	3156.882924540	68.507400000	4.82	68.264727671
1656496579.8428810	1.76600	1.844954	3220.845000000	-11.17	3159.809855260	68.569400000	4.79	68.330117674
1656496580.9090390	1.76700	1.850706	3223.285000000	-11.17	3162.203617160	68.684000000	4.79	68.444317761
1656496581.9875050	1.76500	1.859334	3226.335000000	-11.17	3165.195819535	68.788800000	4.85	68.542701725
1656496583.6048491	1.77000	1.869400	3230.000000000	-11.18	3168.725813657	68.831800000	4.90	68.580650451
1656496584.6919520	1.76000	1.876590	3232.135000000	-11.18	3170.820311989	68.936600000	4.88	68.686913047
1656496586.2870541	1.76500	1.888094	3235.495000000	-11.18	3174.050871349	69.160800000	4.87	68.910916483
1656496587.3887610	1.76800	1.895284	3237.630000000	-11.18	3176.145326327	69.098800000	4.96	68.839837243
1656496588.4871941	1.76900	1.902474	3240.375000000	-11.18	3178.838197014	69.175000000	4.94	68.918251897
1656496589.5882530	1.77000	1.909664	3242.510000000	-11.19	3180.866774353	69.280000000	5.00	69.016579413
1656496591.1919830	1.76500	1.919730	3246.480000000	-11.19	3184.761300844	69.299000000	4.97	69.038658880
1656496592.2896969	1.76400	1.926920	3249.530000000	-11.20	3187.687262197	69.466000000	5.03	69.198055984
1656496593.3867750	1.76400	1.934110	3251.360000000	-11.20	3189.482434942	69.537400000	4.97	69.276163263
1656496594.4808569	1.76700	1.941300	3253.195000000	-11.20	3191.282512530	69.618600000	5.02	69.351345282
1656496596.0865769	1.76700	1.952804	3256.245000000	-11.20	3194.208240354	69.752000000	5.02	69.484233180
1656496597.1869929	1.76500	1.959994	3258.990000000	-11.20	3196.900943643	69.828400000	5.02	69.560979627
1656496598.7903640	1.76500	1.970060	3262.655000000	-11.21	3200.429727219	69.904600000	5.08	69.630449117
1656496599.8854461	1.76200	1.978688	3265.705000000	-11.21	3203.421557697	69.981000000	5.09	69.704600869
1656496601.0972199	1.76400	1.985878	3267.535000000	-11.21	3205.216655984	70.057200000	5.10	69.779848128
