----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1656490450.2962279	1.90600	0.580952	2247.325000000	-10.20	2211.807394679	49.944200000	-0.10	49.944120857
1656490451.9039459	1.90700	0.589580	2264.720000000	-10.22	2228.801374547	50.077800000	-0.13	50.077667102
1656490455.0682139	1.91000	0.605398	2294.015000000	-10.24	2257.461095199	50.521200000	0.04	50.521186426
1656490456.6287041	1.90700	0.612588	2301.340000000	-10.25	2264.583624509	50.807200000	0.04	50.807186349
1656490457.7018449	1.90000	0.618340	2308.055000000	-10.26	2271.148336532	50.993200000	0.12	50.993088159
1656490459.5050430	1.91400	0.626968	2334.910000000	-10.28	2297.399508733	51.126800000	0.13	51.126664318
1656490460.6044850	1.90700	0.632720	2337.350000000	-10.29	2299.756599774	51.336600000	0.18	51.336346664
1656490462.2048521	1.90500	0.641348	2346.200000000	-10.30	2308.376431080	51.556000000	0.30	51.555293283
1656490463.3022821	1.90000	0.645662	2357.185000000	-10.31	2319.095999384	51.713200000	0.28	51.712600011
1656490464.9080060	1.91200	0.654290	2369.090000000	-10.32	2330.764198729	51.846800000	0.26	51.846249631
1656490466.5067599	1.90700	0.662918	2380.075000000	-10.33	2341.482137408	52.032800000	0.37	52.031703304
1656490467.8252389	1.90800	0.668670	2386.485000000	-10.34	2347.698503586	52.199600000	0.46	52.197946823
1656490469.4076681	1.90600	0.677298	2402.660000000	-10.36	2363.520210956	52.338000000	0.52	52.335877546
1656490470.8388541	1.90100	0.684488	2407.845000000	-10.36	2368.575406089	52.509600000	0.50	52.507616558
1656490471.9113481	1.91000	0.688802	2424.630000000	-10.38	2384.949533362	52.628800000	0.57	52.626195680
1656490473.0054269	1.90800	0.694554	2428.600000000	-10.38	2388.854562026	52.791000000	0.61	52.788047256
1656490474.6041780	1.90500	0.703182	2436.840000000	-10.39	2396.867700680	52.981600000	0.58	52.978922736
1656490475.7052460	1.89700	0.708934	2445.080000000	-10.40	2404.880111597	53.110400000	0.62	53.107310579
1656490477.5084469	1.90600	0.717562	2459.115000000	-10.42	2418.591298036	53.239200000	0.64	53.235920059
1656490479.1121690	1.90700	0.726190	2472.545000000	-10.43	2431.706308207	53.472800000	0.72	53.468578013
1656490480.2102480	1.91500	0.730504	2476.815000000	-10.43	2435.858821658	53.563400000	0.82	53.557887748
1656490481.8099830	1.91300	0.739132	2494.210000000	-10.45	2452.824151578	53.735000000	0.83	53.729307456
1656490482.9984610	1.90400	0.744884	2496.655000000	-10.45	2455.228582259	53.868600000	0.86	53.862475372
1656490484.1088569	1.90000	0.750636	2496.960000000	-10.46	2455.481072273	53.954400000	0.91	53.947654736
1656490485.2109251	1.90700	0.756388	2508.870000000	-10.47	2467.097793883	54.083200000	0.85	54.077220590
1656490486.8103099	1.90400	0.763578	2518.330000000	-10.48	2476.352349937	54.321600000	0.95	54.314164605
1656490487.9143710	1.91200	0.769330	2533.285000000	-10.49	2490.913239199	54.359800000	1.01	54.351287303
1656490489.6218200	1.90800	0.777958	2540.300000000	-10.50	2497.762441685	54.498000000	1.07	54.488532502
1656490490.7112780	1.90000	0.783710	2543.050000000	-10.50	2500.466392681	54.736400000	1.11	54.726128512
1656490492.6132081	1.90300	0.792338	2552.205000000	-10.51	2509.370625498	54.870000000	1.10	54.859814452
1656490494.2115920	1.90500	0.800966	2568.075000000	-10.52	2524.876092147	54.974800000	1.16	54.963572302
1656490495.3120191	1.90300	0.806718	2568.685000000	-10.53	2525.426686483	55.118000000	1.15	55.106859402
1656490496.9144781	1.91000	0.813908	2586.080000000	-10.54	2542.429705117	55.251400000	1.20	55.239282455
1656490498.0254331	1.90700	0.819660	2586.995000000	-10.55	2543.279682359	55.294400000	1.28	55.280645349
1656490499.1155319	1.90300	0.825412	2592.180000000	-10.55	2548.377065676	55.437400000	1.28	55.423479993
1656490500.2169590	1.90700	0.831164	2598.285000000	-10.56	2554.279228913	55.499400000	1.28	55.485594354
1656490501.8163381	1.90400	0.839792	2605.915000000	-10.57	2561.729978262	55.675800000	1.31	55.661159264
1656490502.9184010	1.90900	0.844106	2615.985000000	-10.57	2571.578987802	55.818800000	1.47	55.800429707
1656490504.5224831	1.90800	0.852734	2623.310000000	-10.58	2578.678786805	55.818800000	1.42	55.801609752
1656490505.6152160	1.90300	0.858486	2627.585000000	-10.59	2582.830500164	56.000000000	1.41	55.983043779
1656490507.2159541	1.90300	0.865676	2636.740000000	-10.60	2591.778807814	56.176400000	1.45	56.158510748
