------------------------------------------------------------------------------------------------------------------
time (s)	 T (K)	 R1 (Ohm)	 Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)
1653748458.2845781	304.72000	95673.200000000	-0.43	95670.480553772	7114.450000000	-1.18	7112.951469910
1653748459.9660971	304.70000	95663.700000000	-0.43	95660.980823803	7113.700000000	-1.18	7112.201627884
1653748461.6671600	304.71000	95663.700000000	-0.43	95660.980823803	7112.925000000	-1.18	7111.426791124
1653748462.8696010	304.77000	95635.100000000	-0.43	95632.381636739	7112.925000000	-1.17	7111.442039440
1653748464.5664401	304.71000	95625.500000000	-0.43	95622.781909612	7112.175000000	-1.17	7110.692195806
1653748465.7672510	304.77000	95606.400000000	-0.43	95603.682452517	7112.175000000	-1.17	7110.692195806
1653748467.4667189	304.63000	95596.900000000	-0.43	95594.182722548	7111.400000000	-1.17	7109.917357384
1653748469.1681261	304.77000	95577.800000000	-0.43	95575.083265453	7110.650000000	-1.17	7109.167513750
1653748470.3700061	304.59000	95558.800000000	-0.43	95556.083805515	7109.875000000	-1.17	7108.392675329
1653748472.0687420	304.65000	95558.800000000	-0.43	95556.083805515	7109.875000000	-1.17	7108.392675329
1653748473.2685449	304.48000	95558.800000000	-0.43	95556.083805515	7109.125000000	-1.17	7107.642831695
1653748474.9700129	304.49000	95549.200000000	-0.43	95546.484078389	7108.350000000	-1.17	7106.867993273
1653748476.6694851	304.56000	95549.200000000	-0.43	95546.484078389	7108.350000000	-1.17	7106.867993273
1653748477.8722830	304.51000	95539.700000000	-0.43	95536.984348420	7107.600000000	-1.18	7106.102912738
1653748479.5697610	304.51000	95539.700000000	-0.43	95536.984348420	7107.600000000	-1.17	7106.118149639
1653748480.7695999	304.49000	95539.700000000	-0.43	95536.984348420	7106.825000000	-1.17	7105.343311217
1653748482.4823959	304.38000	95530.200000000	-0.43	95527.484618451	7106.075000000	-1.17	7104.593467584
1653748484.1709030	304.42000	95520.600000000	-0.43	95517.884891324	7105.300000000	-1.17	7103.818629162
1653748485.3743501	304.50000	95520.600000000	-0.43	95517.884891324	7105.300000000	-1.17	7103.818629162
1653748487.0741739	304.54000	95511.100000000	-0.43	95508.385161355	7104.550000000	-1.17	7103.068785528
1653748488.2749679	304.42000	95511.100000000	-0.43	95508.385161355	7104.550000000	-1.17	7103.068785528
1653748489.9734550	304.54000	95511.100000000	-0.43	95508.385161355	7103.775000000	-1.17	7102.293947106
1653748491.6745701	304.61000	95511.100000000	-0.43	95508.385161355	7103.025000000	-1.16	7101.559252688
1653748492.8793621	304.60000	95511.100000000	-0.43	95508.385161355	7103.025000000	-1.17	7101.544103472
1653748494.5791881	304.56000	95511.100000000	-0.43	95508.385161355	7102.250000000	-1.17	7100.769265051
1653748495.7784390	304.55000	95511.100000000	-0.43	95508.385161355	7101.500000000	-1.17	7100.019421417
1653748497.4771760	304.54000	95511.100000000	-0.43	95508.385161355	7100.725000000	-1.17	7099.244582995
1653748499.1766570	304.58000	95492.000000000	-0.43	95489.285704260	7100.725000000	-1.17	7099.244582995
1653748500.3806150	304.44000	95492.000000000	-0.43	95489.285704260	7099.950000000	-1.17	7098.469744573
1653748502.0790911	304.52000	95482.500000000	-0.43	95479.785974291	7099.950000000	-1.17	7098.469744573
1653748503.2798929	304.51000	95472.900000000	-0.43	95470.186247165	7099.200000000	-1.17	7097.719900940
1653748504.9846690	304.50000	95434.800000000	-0.43	95432.087330131	7098.425000000	-1.17	7096.945062518
1653748507.2845790	304.40000	95425.200000000	-0.43	95422.487603005	7097.675000000	-1.17	7096.195218884
1653748508.4852600	304.43000	95415.700000000	-0.43	95412.987873036	7097.675000000	-1.17	7096.195218884
1653748510.4876959	304.34000	95377.600000000	-0.43	95374.888956003	7096.150000000	-1.17	7094.670536828
1653748512.1895220	304.36000	95377.600000000	-0.43	95374.888956003	7096.150000000	-1.17	7094.670536828
1653748513.3962989	304.32000	95368.000000000	-0.43	95365.289228876	7095.375000000	-1.17	7093.895698407
1653748515.0937710	304.37000	95368.000000000	-0.43	95365.289228876	7094.625000000	-1.17	7093.145854773
1653748517.2945631	304.33000	95358.500000000	-0.43	95355.789498907	7094.625000000	-1.17	7093.145854773
1653748519.4980640	304.35000	95358.500000000	-0.43	95355.789498907	7093.850000000	-1.16	7092.386145999
1653748521.6892250	304.34000	95349.000000000	-0.43	95346.289768939	7093.100000000	-1.17	7091.621172717
1653748522.8940179	304.19000	95339.400000000	-0.43	95336.690041812	7093.100000000	-1.16	7091.636300765
1653748524.5931389	304.17000	95339.400000000	-0.43	95336.690041812	7092.325000000	-1.17	7090.846334296
1653748525.7935760	304.07000	95329.900000000	-0.43	95327.190311843	7091.575000000	-1.17	7090.096490662
1653748527.4887130	304.12000	95329.900000000	-0.43	95327.190311843	7090.800000000	-1.16	7089.336775383
1653748529.1905379	304.03000	95320.300000000	-0.43	95317.590584717	7090.800000000	-1.16	7089.336775383
1653748530.3919799	303.99000	95329.900000000	-0.43	95327.190311843	7090.050000000	-1.16	7088.586930149
1653748532.0901771	304.15000	95329.900000000	-0.43	95327.190311843	7090.050000000	-1.16	7088.586930149
1653748533.2896199	303.95000	95329.900000000	-0.43	95327.190311843	7089.275000000	-1.16	7087.812090075
1653748534.9900899	303.88000	95329.900000000	-0.43	95327.190311843	7088.525000000	-1.16	7087.062244841
1653748536.6895649	303.91000	95329.900000000	-0.43	95327.190311843	7088.525000000	-1.17	7087.047126551
1653748537.8943651	303.88000	95320.300000000	-0.43	95317.590584717	7087.750000000	-1.16	7086.287404767
1653748539.5908511	304.03000	95320.300000000	-0.43	95317.590584717	7087.000000000	-1.16	7085.537559533
1653748540.7906549	303.92000	95310.800000000	-0.43	95308.090854748	7087.000000000	-1.16	7085.537559533
1653748542.4916220	303.86000	95291.700000000	-0.43	95288.991397652	7086.225000000	-1.16	7084.762719458
1653748544.1940911	303.78000	95282.200000000	-0.43	95279.491667684	7085.475000000	-1.16	7084.012874225
1653748545.3939080	303.69000	95272.700000000	-0.43	95269.991937715	7085.475000000	-1.16	7084.012874225
1653748547.0920160	303.82000	95253.600000000	-0.43	95250.892480619	7084.700000000	-1.16	7083.238034150
1653748548.2972000	303.83000	95234.500000000	-0.43	95231.793023524	7084.700000000	-1.16	7083.238034150
1653748549.9923379	303.77000	95225.000000000	-0.43	95222.293293555	7083.175000000	-1.16	7081.713348842
1653748551.6928091	303.72000	95196.400000000	-0.43	95193.694106491	7083.175000000	-1.16	7081.713348842
1653748552.8979490	303.78000	95186.800000000	-0.43	95184.094379364	7082.425000000	-1.16	7080.963503609
1653748554.5941000	303.71000	95186.800000000	-0.43	95184.094379364	7081.650000000	-1.16	7080.188663534
1653748555.7938981	303.67000	95186.800000000	-0.43	95184.094379364	7081.650000000	-1.16	7080.188663534
1653748557.4953771	303.60000	95186.800000000	-0.43	95184.094379364	7080.900000000	-1.16	7079.453842694
1653748559.1974800	303.59000	95177.300000000	-0.43	95174.594649395	7080.900000000	-1.16	7079.438818301
1653748560.4023070	303.49000	95177.300000000	-0.43	95174.594649395	7080.125000000	-1.16	7078.679000975
1653748562.1061151	303.42000	95167.800000000	-0.43	95165.094919426	7080.125000000	-1.16	7078.663978226
1653748563.3035729	303.46000	95158.200000000	-0.43	95155.495192300	7078.600000000	-1.16	7077.154312431
1653748565.0010519	303.48000	95158.200000000	-0.43	95155.495192300	7077.825000000	-1.16	7076.379470712
1653748567.3118989	303.35000	95148.700000000	-0.43	95145.995462331	7077.075000000	-1.16	7075.629623887
1653748569.5094011	303.54000	95139.100000000	-0.43	95136.395735205	7077.075000000	-1.16	7075.629623887
1653748571.7042019	303.57000	95148.700000000	-0.43	95145.995462331	7076.300000000	-1.16	7074.854782168
1653748573.0326610	303.47000	95139.100000000	-0.43	95136.395735205	7075.550000000	-1.16	7074.104935344
1653748574.2068889	303.54000	95139.100000000	-0.43	95136.395735205	7075.550000000	-1.16	7074.104935344
1653748575.4113269	303.33000	95148.700000000	-0.43	95145.995462331	7074.025000000	-1.16	7072.580246800
1653748577.1101651	303.19000	95148.700000000	-0.43	95145.995462331	7074.025000000	-1.16	7072.580246800
1653748578.3109610	303.43000	95148.700000000	-0.43	95145.995462331	7073.250000000	-1.16	7071.805405081
1653748580.0130720	303.29000	95139.100000000	-0.43	95136.395735205	7073.250000000	-1.16	7071.805405081
1653748581.7045641	303.22000	95129.600000000	-0.43	95126.896005236	7072.500000000	-1.16	7071.055558256
1653748582.9087131	303.29000	95120.100000000	-0.43	95117.396275267	7072.500000000	-1.16	7071.055558256
1653748584.6081829	303.27000	95101.000000000	-0.43	95098.296818171	7071.725000000	-1.16	7070.280716537
1653748585.8086350	303.39000	95091.500000000	-0.43	95088.797088203	7070.975000000	-1.16	7069.515866378
1653748587.5054300	303.34000	95072.400000000	-0.43	95069.697631107	7070.975000000	-1.16	7069.515866378
1653748589.2059131	303.23000	95062.900000000	-0.43	95060.197901138	7070.200000000	-1.16	7068.756027993
1653748590.4103329	303.26000	95024.700000000	-0.43	95021.998986948	7069.450000000	-1.16	7067.991181070
1653748592.1051760	303.31000	95005.600000000	-0.43	95002.899529852	7069.450000000	-1.16	7067.991181070
1653748593.3069630	303.27000	95005.600000000	-0.43	95002.899529852	7068.675000000	-1.16	7067.216340995
1653748595.0084119	303.31000	95005.600000000	-0.43	95002.899529852	7067.925000000	-1.16	7066.481492624
1653748596.7074449	303.25000	95005.600000000	-0.43	95002.899529852	7067.925000000	-1.16	7066.466495762
1653748597.9098871	303.10000	94996.100000000	-0.43	94993.399799883	7067.150000000	-1.16	7065.706650905
1653748599.6083629	303.13000	94996.100000000	-0.43	94993.399799883	7066.400000000	-1.16	7064.956804081
1653748600.8085301	303.26000	94986.600000000	-0.43	94983.900069914	7066.400000000	-1.16	7064.956804081
1653748602.5096340	303.18000	94977.000000000	-0.43	94974.300342788	7065.625000000	-1.16	7064.181962362
1653748604.2127299	303.09000	94977.000000000	-0.43	94974.300342788	7064.875000000	-1.16	7063.432115537
1653748605.4158621	303.06000	94967.500000000	-0.43	94964.800612819	7064.100000000	-1.16	7062.657273818
1653748607.1169930	303.08000	94967.500000000	-0.43	94964.800612819	7064.100000000	-1.16	7062.657273818
1653748608.3167951	303.03000	94967.500000000	-0.43	94964.800612819	7063.350000000	-1.16	7061.907426993
1653748610.0176239	303.19000	94967.500000000	-0.43	94964.800612819	7062.575000000	-1.16	7061.132585274
1653748611.7191019	303.18000	94967.500000000	-0.43	94964.800612819	7062.575000000	-1.15	7061.147493351
1653748612.9218919	303.16000	94967.500000000	-0.43	94964.800612819	7061.825000000	-1.15	7060.397644943
1653748614.6200130	303.15000	94967.500000000	-0.43	94964.800612819	7061.050000000	-1.16	7059.607896730
1653748615.8208160	302.97000	94967.500000000	-0.43	94964.800612819	7060.300000000	-1.16	7058.858049905
1653748617.5202899	303.00000	94967.500000000	-0.43	94964.800612819	7060.300000000	-1.16	7058.858049905
1653748619.2199049	302.87000	94957.900000000	-0.43	94955.200885693	7059.525000000	-1.16	7058.083208186
1653748620.4237580	302.89000	94948.400000000	-0.43	94945.701155724	7059.525000000	-1.15	7058.098109825
1653748622.1208839	302.83000	94938.900000000	-0.43	94936.201425755	7058.775000000	-1.15	7057.348261417
1653748623.3220420	302.75000	94919.800000000	-0.43	94917.101968659	7058.000000000	-1.16	7056.558519642
