-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653951593.3665576	-45.0	1.501828e-09	1790.475	2.244	1789.1019599942865
1653951595.4716291	-44.0	-7.095474e-10	1784.6799999999998	2.25	1783.3040763980932
1653951597.77644	-43.0	5.311562e-10	1779.1850000000002	2.256	1777.8059883713433
1653951599.8766315	-42.0	8.797656e-10	1773.385	2.25	1772.0177844337543
1653951601.9749582	-41.0	-5.377685e-10	1767.59	2.25	1766.2272521687394
1653951604.0736248	-40.0	-7.546239e-10	1762.0949999999998	2.262	1760.7219610715852
1653951606.171841	-39.0	7.767612e-10	1756.6000000000001	2.256	1755.2384935648074
1653951608.2826045	-38.0	-5.10492e-10	1750.805	2.256	1749.4479851564001
1653951610.3810508	-37.0	6.564092e-10	1745.31	2.262	1743.9500400817485
1653951612.6946025	-36.0	1.348393e-09	1739.815	2.262	1738.45932183098
1653951614.7934108	-35.0	6.767718e-11	1734.02	2.256	1732.6759948828685
1653951616.890887	-34.0	1.214571e-09	1728.5249999999999	2.268	1727.1709652928892
1653951618.9878817	-33.0	3.494567e-10	1723.0300000000002	2.268	1721.6802697841265
1653951621.0863297	-32.0	-6.13254e-10	1717.54	2.262	1716.201678694333
1653951623.1841354	-31.0	1.121745e-09	1711.74	2.268	1710.3991137706716
1653951625.291194	-30.0	1.863336e-09	1706.5549999999998	2.274	1705.2110938521728
1653951627.3901255	-29.0	6.079646e-11	1701.0600000000002	2.268	1699.7274799156057
1653951629.4922328	-28.0	1.912488e-09	1695.565	2.274	1694.2297484390833
1653951631.5913968	-27.0	7.019384e-10	1690.075	2.274	1688.7440717950558
1653951633.8759887	-26.0	1.244936e-09	1684.275	2.28	1682.9416317009225
1653951635.9727871	-25.0	9.054415e-11	1679.0849999999998	2.28	1677.755740401385
1653951638.0718734	-24.0	1.500346e-09	1673.595	2.274	1672.2770497379383
1653951640.1952481	-23.0	1.938737e-09	1668.1000000000001	2.28	1666.77943675487
1653951642.2907002	-22.0	-3.625703e-10	1662.605	2.28	1661.288786910755
1653951644.3991134	-21.0	-4.443598e-10	1657.115	2.28	1655.8031331083546
1653951646.496557	-20.0	9.091012e-10	1651.925	2.286	1650.610350728758
1653951648.719769	-19.0	-5.927743e-10	1646.13	2.286	1644.8199625558852
1653951650.8194551	-18.0	2.915681e-10	1640.9399999999998	2.286	1639.6340929066685
1653951652.9175453	-17.0	9.823985e-10	1635.75	2.286	1634.448223257452
1653951655.016336	-16.0	-7.466713e-10	1630.26	2.286	1628.9625923568353
1653951657.114429	-15.0	1.831442e-09	1624.7649999999999	2.292	1623.4651698511125
1653951659.2118745	-14.0	-7.84125e-10	1619.575	2.292	1618.2793219090859
1653951661.3158197	-13.0	6.982298e-10	1614.085	2.292	1612.79371397041
1653951663.412653	-12.0	-3.173701e-10	1608.59	2.298	1607.296364473473
1653951665.5170765	-11.0	2.135678e-09	1603.405	2.292	1602.1222580897072
1653951667.6162257	-10.0	1.831404e-09	1597.9099999999999	2.292	1596.631654151087
1653951669.8189576	-9.0	1.236987e-09	1592.72	2.298	1591.4391272009586
1653951671.9163988	-8.0	1.70517e-10	1587.5349999999999	2.304	1586.2516223416885
1653951674.0128484	-7.0	-5.605957e-10	1582.0400000000002	2.298	1580.7677161064123
1653951676.125608	-6.0	1.912734e-09	1576.855	2.304	1575.5802561503233
1653951678.223571	-5.0	3.989812e-10	1571.665	2.304	1570.3944517932835
1653951680.3203852	-4.0	-9.71363e-11	1566.17	2.304	1564.9038940010032
1653951682.424457	-3.0	1.417572e-09	1560.68	2.304	1559.4183321666778
1653951684.6519165	-2.0	-4.80825e-10	1555.795	2.31	1554.5307229854088
1653951686.7559795	-1.0	2.150511e-09	1550.6100000000001	2.31	1549.3499364430434
