----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701254492.1408210	5.00900	0.644224	1539.162500000	-7.12	1527.306920993	739.980000000	-110.61	-260.476671928	0.005212258
1701254493.3488359	4.99300	0.651414	1539.775000000	-7.08	1528.034250244	739.369000000	-110.59	-260.044170735	-0.000515203
1701254495.5679049	4.99800	0.661480	1540.690000000	-7.04	1529.081065000	740.438000000	-110.60	-260.492732756	0.013535700
1701254496.7766850	4.99700	0.667232	1540.995000000	-7.03	1529.403531072	740.247000000	-110.60	-260.425537242	0.006160010
1701254498.4907391	4.99400	0.675860	1540.842500000	-7.13	1528.933969797	740.361000000	-110.64	-260.973591745	0.001462632
1701254499.7404001	4.99700	0.683050	1541.452500000	-7.09	1529.679055056	740.514000000	-110.63	-260.954953034	0.003934925
1701254501.4737680	5.00300	0.691678	1541.605000000	-7.13	1529.690576752	741.467000000	-110.66	-261.654078001	0.006324826
1701254502.6875210	4.99300	0.697430	1542.520000000	-7.06	1530.817973175	741.506000000	-110.65	-261.449863388	0.006283630
1701254504.3909709	4.99700	0.706058	1542.977500000	-7.04	1531.331522498	742.612000000	-110.66	-261.985369064	0.000885767
1701254505.6466160	4.99500	0.711810	1542.977500000	-7.08	1531.212331253	743.108000000	-110.68	-262.451587855	0.002987242
1701254507.3845141	4.99200	0.720438	1543.895000000	-7.03	1532.281717075	742.040000000	-110.66	-261.783573738	0.011310660
1701254508.5902910	5.00100	0.727628	1543.740000000	-7.10	1531.909165333	742.192000000	-110.68	-262.128074107	0.007190134
1701254510.3495879	4.99500	0.736256	1543.895000000	-7.13	1531.942808063	742.841000000	-110.70	-262.575606428	0.006654465
1701254511.5643389	4.99000	0.742008	1543.895000000	-7.15	1531.882496571	744.290000000	-110.74	-263.525201039	0.009209172
1701254513.2825029	4.98800	0.750636	1544.352500000	-7.15	1532.336436924	744.328000000	-110.74	-263.611550621	0.011599110
1701254514.4919169	5.00100	0.756388	1544.657500000	-7.16	1532.598752271	744.977000000	-110.76	-264.060259693	0.008220265
1701254516.2556300	4.98800	0.765016	1545.115000000	-7.17	1533.032493719	743.375000000	-110.73	-263.128429063	0.006901705
1701254517.4680350	4.99100	0.770768	1545.725000000	-7.15	1533.718402464	741.773000000	-110.70	-262.198095295	0.010733780
1701254519.1828101	4.99800	0.779396	1546.182500000	-7.13	1534.212599191	742.459000000	-110.71	-262.513308488	0.008055417
1701254520.3945720	4.99200	0.786586	1546.335000000	-7.14	1534.343799822	743.680000000	-110.73	-263.236388264	0.006448397
1701254522.1594970	4.98600	0.795214	1547.250000000	-7.08	1535.452253537	745.168000000	-110.75	-263.982019987	0.006160027
1701254523.3666251	4.99600	0.800966	1548.012500000	-7.04	1536.348390743	743.909000000	-110.71	-263.098857655	0.008673513
1701254525.5727479	4.99300	0.812470	1547.402500000	-7.15	1535.362705948	745.244000000	-110.78	-264.373810275	0.002904881
1701254526.7765191	4.98900	0.818222	1547.860000000	-7.15	1535.836818605	743.108000000	-110.75	-263.252247693	0.010651350
1701254528.4919951	4.99400	0.826850	1548.320000000	-7.16	1536.232660066	742.192000000	-110.74	-262.855063867	0.006654545
1701254529.7446480	5.00200	0.832602	1548.777500000	-7.14	1536.767359226	742.764000000	-110.75	-263.130382805	0.003564055
1701254531.4820049	4.98700	0.841230	1549.235000000	-7.13	1537.241468008	743.833000000	-110.76	-263.654764038	0.004676710
1701254532.6937690	4.99200	0.846982	1549.387500000	-7.13	1537.392787416	745.816000000	-110.79	-264.722764500	0.008632317
1701254534.4523821	5.00300	0.855610	1550.607500000	-7.05	1538.884012067	744.863000000	-110.75	-263.946912990	0.004140955
1701254535.6591530	4.99200	0.862800	1550.760000000	-7.06	1538.995462024	742.917000000	-110.74	-263.039073184	0.005006263
1701254537.3875320	4.99900	0.871428	1550.302500000	-7.16	1538.219921065	744.939000000	-110.81	-264.630257013	0.009580017
1701254538.6545019	4.99300	0.877180	1549.997500000	-7.22	1537.693797809	749.898000000	-110.90	-267.566019741	0.007231365
1701254540.3885131	4.99500	0.885808	1550.150000000	-7.24	1537.804227614	751.233000000	-110.94	-268.483244573	-0.001627771
1701254541.6032660	4.99800	0.891560	1550.912500000	-7.20	1538.683091702	748.029000000	-110.89	-266.679608936	0.007437440
1701254543.3599250	4.98900	0.901626	1551.522500000	-7.18	1539.369600723	746.236000000	-110.86	-265.675296424	0.006407229
1701254544.5587220	5.00400	0.907378	1551.827500000	-7.16	1539.712777907	745.473000000	-110.84	-265.184787493	0.005706730
1701254546.2930951	4.99300	0.916006	1552.437500000	-7.17	1540.297733158	744.901000000	-110.83	-264.908406778	0.008096648
1701254547.5533640	4.99100	0.921758	1552.132500000	-7.21	1539.852694804	747.876000000	-110.89	-266.698232769	0.000226416
1701254549.2851059	4.99700	0.930386	1552.745000000	-7.20	1540.501141893	747.991000000	-110.90	-266.812420784	0.008096628
1701254550.4978671	4.99300	0.936138	1553.050000000	-7.18	1540.885135989	747.914000000	-110.89	-266.711783856	0.005665544
1701254552.2561600	4.99500	0.946204	1553.507500000	-7.18	1541.339052444	747.724000000	-110.89	-266.570873471	0.004841464
1701254553.4669230	4.99000	0.951956	1553.965000000	-7.15	1541.894397312	748.448000000	-110.89	-266.828986508	0.002492773
1701254555.1819940	4.99900	0.960584	1554.880000000	-7.09	1542.983902692	748.258000000	-110.88	-266.688039542	0.013082480
1701254556.3937531	4.99300	0.966336	1554.575000000	-7.16	1542.438828874	748.448000000	-110.91	-267.121872075	0.003152072
1701254558.5958700	5.00000	0.976402	1555.185000000	-7.12	1543.185822661	750.089000000	-110.93	-267.927661661	0.009374005
1701254559.8056381	4.99400	0.983592	1555.642500000	-7.12	1543.659981867	748.181000000	-110.89	-266.806998073	0.006324847
1701254561.5671620	4.99800	0.992220	1555.337500000	-7.21	1543.052777199	749.555000000	-110.96	-268.103458187	0.006901705
1701254562.7779260	4.99800	0.997972	1555.337500000	-7.22	1542.991409502	750.585000000	-110.98	-268.765452857	0.010610110
1701254564.4933410	4.99100	1.006600	1555.947500000	-7.20	1543.678389224	750.775000000	-110.98	-268.833487038	0.009992153
1701254565.7062249	4.99900	1.012352	1556.865000000	-7.13	1544.832638564	749.211000000	-110.93	-267.687324800	0.007725754
1701254567.4658790	4.99300	1.020980	1557.780000000	-7.07	1545.922060690	746.427000000	-110.87	-265.889378695	0.003646489
1701254568.6788471	4.98300	1.028170	1557.780000000	-7.11	1545.801217403	749.364000000	-110.93	-267.741990523	0.001421412
1701254570.3936269	5.00000	1.036798	1557.170000000	-7.19	1544.932090856	749.745000000	-110.96	-268.244735493	0.007973015
1701254571.6083801	4.99200	1.042550	1557.475000000	-7.19	1545.214277607	748.448000000	-110.96	-267.780693156	0.006283616
1701254573.3693130	5.00300	1.051178	1557.932500000	-7.19	1545.668176085	748.563000000	-110.96	-267.821838004	0.009497628
1701254574.5817161	4.98300	1.056930	1557.932500000	-7.21	1545.606807697	750.966000000	-111.01	-269.195561798	0.013741730
1701254576.2981310	4.99300	1.065558	1557.932500000	-7.24	1545.504188063	753.064000000	-111.05	-270.536486664	0.010610130
1701254577.5075390	4.99200	1.071310	1558.237500000	-7.24	1545.806754944	753.331000000	-111.05	-270.632405792	0.005418284
1701254579.2123270	4.99900	1.079938	1558.542500000	-7.25	1546.088738997	752.568000000	-111.05	-270.358299821	0.002492728
1701254580.4636409	4.99400	1.087128	1558.847500000	-7.25	1546.391301850	753.217000000	-111.07	-270.738667761	0.006530856
1701254582.1999991	4.99700	1.095756	1559.000000000	-7.25	1546.542583276	754.209000000	-111.08	-271.316328170	0.008673499
1701254583.4101200	4.98500	1.101508	1559.305000000	-7.25	1546.845146129	753.598000000	-111.08	-271.096529313	0.002245495
1701254585.1710570	4.99300	1.110136	1559.610000000	-7.25	1547.127095090	753.331000000	-111.08	-271.000479730	0.003811309
1701254586.3888011	4.98900	1.115888	1559.915000000	-7.25	1547.429653911	753.484000000	-111.09	-271.129140203	0.011640230
1701254588.6028881	4.99800	1.127392	1560.067500000	-7.26	1547.560296411	753.102000000	-111.10	-271.065264154	0.000308843
