----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701364633.1838889	5.00000	0.258840	869.450000000	8.99	858.774095171	12.226200000	-46.10	8.477054386	0.025444080
1701364634.4013500	5.00000	0.264592	869.602500000	8.99	858.910491129	12.207100000	-46.21	8.448138248	0.021405970
1701364636.1609399	4.99200	0.273220	869.755000000	8.99	859.061116098	12.169000000	-46.40	8.392287835	0.020581860
1701364637.3767190	4.99500	0.278972	869.907500000	8.99	859.211741067	12.116500000	-46.65	8.317410116	0.024001900
1701364639.0927870	4.99500	0.287600	870.212500000	8.99	859.527232497	12.078400000	-46.84	8.262699929	0.028163620
1701364640.2999229	5.00100	0.294790	870.365000000	8.99	859.677859962	12.035400000	-47.05	8.200131120	0.017615120
1701364642.0050290	5.00000	0.301980	870.517500000	8.99	859.828487427	12.045000000	-47.16	8.190038447	0.019716570
1701364643.2590439	5.00300	0.309170	870.672500000	8.98	859.995823782	12.035400000	-47.45	8.139048302	0.018727660
1701364644.9910719	4.99800	0.317798	870.977500000	8.99	860.282839125	12.006800000	-47.61	8.094666290	0.022683330
1701364646.2051890	5.00600	0.323550	871.130000000	8.99	860.433466590	11.968700000	-47.82	8.036526747	0.020211020
1701364647.9631529	4.99000	0.332178	871.282500000	8.99	860.584094055	11.949600000	-47.90	8.010710921	0.022848140
1701364649.1653049	4.99800	0.337930	871.435000000	8.99	860.734721520	11.921000000	-48.07	7.965567078	0.026350570
1701364651.3853891	4.99600	0.349434	871.740000000	8.98	861.050233496	11.868600000	-48.38	7.883281943	0.025979740
1701364652.5850689	4.99800	0.355186	871.892500000	8.98	861.200863456	11.882900000	-48.61	7.857369302	0.022806940
1701364654.3026259	4.99900	0.363814	872.045000000	8.98	861.351493415	11.844700000	-48.88	7.790150693	0.021199940
1701364655.5629060	4.99200	0.371004	872.197500000	8.98	861.502123374	11.806600000	-49.07	7.734311705	0.019263290
1701364657.2923031	4.99800	0.379632	872.350000000	8.98	861.652753333	11.773200000	-49.28	7.680711572	0.020087410
1701364658.5050709	5.00200	0.385384	872.502500000	8.98	861.803383292	11.744600000	-49.44	7.636855534	0.021241140
1701364660.2685161	5.00100	0.394012	872.807500000	8.98	862.118908262	11.706400000	-49.67	7.575630539	0.025444070
1701364661.4794860	4.99500	0.399764	872.807500000	8.98	862.118908262	11.682600000	-49.82	7.536885612	0.017532670
1701364663.1979189	4.99100	0.408392	873.112500000	8.98	862.420173165	11.615800000	-50.19	7.436943706	0.022559700
1701364664.4023600	4.99500	0.414144	873.112500000	8.98	862.420173165	11.606300000	-50.51	7.381264124	0.025856130
1701364666.1048191	4.99800	0.422772	873.417500000	8.98	862.721438068	11.601500000	-50.72	7.344406976	0.024001910
1701364667.3624680	4.99500	0.429962	873.570000000	8.98	862.857793006	11.572900000	-50.90	7.298121034	0.028740490
1701364669.1051681	4.99300	0.438590	873.722500000	8.98	863.008422966	11.534800000	-51.16	7.234650958	0.018109580
1701364670.3079741	5.00000	0.444342	873.875000000	8.98	863.173335423	11.501400000	-51.37	7.180821460	0.025979730
1701364672.0699260	4.98800	0.452970	874.180000000	8.98	863.474600326	11.458500000	-51.62	7.113659703	0.023466240
1701364673.2836919	5.00000	0.458722	874.180000000	8.98	863.474600326	11.425100000	-51.83	7.060048569	0.022312490
1701364675.0021141	4.98800	0.467350	874.332500000	8.98	863.625232778	11.410800000	-52.14	7.003197819	0.020746700
1701364676.2102480	4.99900	0.474540	874.485000000	8.97	863.790148225	11.386900000	-52.36	6.954588103	0.020993930
1701364677.9685719	4.99500	0.483168	874.637500000	8.97	863.940783167	11.363100000	-52.63	6.897575365	0.025361650
1701364679.1839700	4.98900	0.488920	874.790000000	8.98	864.077130133	11.339300000	-52.86	6.846268602	0.021488360
1701364681.4054110	4.99600	0.500424	875.097500000	8.98	864.380864420	11.305900000	-53.10	6.788291026	0.025979740
1701364682.6082001	4.98600	0.506176	875.250000000	8.98	864.531496872	11.291600000	-53.18	6.767406068	0.016708580
1701364684.3724990	5.00300	0.514804	875.250000000	8.98	864.531496872	11.248700000	-53.48	6.694454599	0.025938550
1701364685.6138370	4.99900	0.520556	875.402500000	8.98	864.682129323	11.239100000	-53.57	6.673598594	0.022024060
1701364687.3755009	4.99000	0.529184	875.707500000	8.97	864.997697189	11.205700000	-53.89	6.603621747	0.025691300
1701364688.5882699	4.98400	0.536374	875.860000000	8.97	865.148332132	11.177100000	-54.11	6.552678239	0.025732500
1701364690.3066940	4.99600	0.545002	875.860000000	8.97	865.148332132	11.167600000	-54.47	6.489183350	0.024001900
1701364691.5161159	4.99400	0.550754	876.012500000	8.97	865.298967074	11.139000000	-54.67	6.441197989	0.022106460
1701364693.2777710	5.00500	0.559382	876.165000000	8.97	865.449602017	11.110400000	-54.97	6.378063222	0.026144570
1701364694.4951711	4.99900	0.565134	876.317500000	8.97	865.600236959	11.081800000	-55.16	6.330249946	0.021859280
1701364696.2086079	4.99900	0.573762	876.470000000	8.97	865.750871901	11.057900000	-55.36	6.285194748	0.021447210
1701364697.4822171	4.99500	0.579514	876.622500000	8.97	865.901506844	11.024500000	-55.60	6.228161199	0.022765770
1701364699.2086120	4.99200	0.589580	876.775000000	8.96	866.066452687	11.000700000	-55.96	6.158515211	0.021776840
1701364700.4237270	4.99100	0.595332	876.775000000	8.97	866.052141786	10.986400000	-56.24	6.104673375	0.024166730
1701364702.1890330	5.00000	0.603960	877.080000000	8.97	866.353411671	10.972100000	-56.50	6.056546536	0.022394910
1701364703.3974531	4.98600	0.609712	877.080000000	8.97	866.353411671	10.948300000	-56.66	6.017572694	0.022806960
1701364705.1242020	4.99800	0.618340	877.385000000	8.96	866.669002413	10.934000000	-56.79	5.988653028	0.020911540
1701364706.3835011	4.99100	0.624092	877.385000000	8.96	866.669002413	10.910100000	-57.01	5.941108120	0.025279250
1701364708.1112571	4.99100	0.632720	877.537500000	8.97	866.805316498	10.876700000	-57.31	5.875073376	0.017367850
1701364709.3156829	5.00300	0.639910	877.690000000	8.97	866.955951441	10.852900000	-57.52	5.828702624	0.024743590
1701364711.0191419	4.99000	0.648538	877.842500000	8.96	867.120914708	10.814700000	-57.82	5.760341306	0.022024040
1701364712.2243011	5.00000	0.654290	877.842500000	8.96	867.120914708	10.805200000	-57.90	5.741867931	0.025155640
1701364714.4290600	4.99300	0.664356	878.147500000	8.96	867.422189571	10.790900000	-58.41	5.652675312	0.015678470
1701364715.6328521	4.99500	0.671546	878.300000000	8.96	867.572827002	10.771800000	-58.67	5.600332063	0.024372740
1701364717.3951550	4.98400	0.680174	878.300000000	8.96	867.572827002	10.738400000	-58.98	5.533897540	0.025897340
1701364718.6112709	5.00000	0.685926	878.452500000	8.96	867.737793200	10.719400000	-59.16	5.495219019	0.024001900
1701364720.3276989	4.99600	0.694554	878.605000000	8.96	867.888433119	10.686000000	-59.50	5.423233545	0.024619980
1701364721.5321331	4.99400	0.700306	878.605000000	8.96	867.874101865	10.662200000	-59.72	5.376482111	0.027833970
1701364723.2369511	4.98900	0.708934	878.757500000	8.97	868.010396037	10.628800000	-60.09	5.299934567	0.027009870
1701364724.4912479	4.98900	0.714686	878.910000000	8.96	868.175376728	10.585900000	-60.45	5.220784873	0.023878290
1701364726.2256260	4.99800	0.723314	878.910000000	8.96	868.175376728	10.552500000	-60.83	5.143636845	0.024290340
1701364727.4856329	4.99100	0.730504	879.215000000	8.96	868.476651592	10.547700000	-60.85	5.138403559	0.022353700
1701364729.2209990	4.98700	0.739132	879.215000000	8.96	868.476651592	10.533400000	-61.20	5.074504151	0.026845050
1701364730.4264331	4.99300	0.744884	879.370000000	8.96	868.629758489	10.528600000	-61.57	5.012182457	0.016997010
1701364732.1318891	4.99400	0.753512	879.370000000	8.96	868.629758489	10.509600000	-61.77	4.971168486	0.023012970
1701364733.3400300	4.98800	0.759264	879.522500000	8.96	868.794742140	10.504800000	-61.82	4.961142570	0.022559710
1701364735.1053200	4.99800	0.767892	879.675000000	8.96	868.945382059	10.485700000	-62.06	4.913363328	0.025897330
1701364736.3161039	4.99800	0.775082	879.675000000	8.96	868.945382059	10.461900000	-62.29	4.865394206	0.019716550
1701364738.0341640	4.98800	0.783710	879.827500000	8.96	869.096021978	10.433300000	-62.60	4.801725746	0.019716590
1701364739.2419450	5.00000	0.789462	879.980000000	8.96	869.246661897	10.409400000	-62.89	4.744213269	0.025444080
1701364741.0006199	4.99400	0.798090	880.132500000	8.96	869.397301816	10.380800000	-63.23	4.675940914	0.025238040
1701364742.2163601	4.99400	0.803842	880.132500000	8.96	869.397301816	10.347400000	-63.64	4.594993708	0.023342600
1701364744.4324689	4.99400	0.815346	880.285000000	8.96	869.547941735	10.347400000	-64.21	4.501559049	0.026268170
1701364745.6392601	4.98700	0.821098	880.437500000	8.96	869.698581654	10.328400000	-64.41	4.461128695	0.019469340
1701364747.4031980	4.99600	0.829726	880.590000000	8.95	869.863575665	10.309300000	-64.69	4.407061760	0.023672260
1701364748.6159670	4.98600	0.836916	880.590000000	8.95	869.863575665	10.290200000	-64.90	4.365747442	0.022477270
1701364750.3357401	4.99000	0.844106	880.590000000	8.95	869.863575665	10.271100000	-65.11	4.322549638	0.026185760
1701364751.5411730	4.98900	0.851296	880.742500000	8.95	870.014218070	10.252100000	-65.37	4.272632493	0.022724530
1701364753.3054731	4.99000	0.862800	881.047500000	8.96	870.301141330	10.213900000	-65.93	4.166089622	0.019386930
1701364756.3018589	4.99300	0.874304	881.047500000	8.96	870.301141330	10.190100000	-66.19	4.114444970	0.021818030
1701364757.5052819	4.98900	0.880056	881.200000000	8.95	870.466145284	10.175800000	-66.37	4.078428119	0.020623100
1701364759.2366669	4.99400	0.888684	881.200000000	8.96	870.451781249	10.151900000	-66.73	4.010330271	0.021776790
1701364760.4497900	4.98900	0.895874	881.352500000	8.96	870.602421168	10.151900000	-67.23	3.929118759	0.019428150
1701364762.2027659	4.99000	0.904502	881.505000000	8.96	870.753061087	10.151900000	-67.42	3.898710284	0.021776800
1701364763.4105461	4.99700	0.910254	881.505000000	8.96	870.753061087	10.137600000	-67.63	3.858885463	0.019634150
1701364765.1273260	4.98000	0.918882	881.657500000	8.95	870.918072499	10.109000000	-67.99	3.788206720	0.024290330
1701364766.3351080	4.99800	0.924634	881.810000000	8.95	871.068714904	10.089900000	-68.27	3.734961596	0.023631040
1701364768.1004050	4.99000	0.933262	881.810000000	8.95	871.068714904	10.061300000	-68.68	3.658705867	0.025361660
1701364769.3111789	5.00000	0.939014	881.962500000	8.95	871.219357309	10.032700000	-69.12	3.575773456	0.020829060
1701364771.0272520	4.99300	0.947642	881.962500000	8.95	871.219357309	10.018400000	-69.49	3.509827842	0.022765740
1701364772.2340670	4.98800	0.954832	882.115000000	8.95	871.369999713	10.008900000	-69.60	3.488822764	0.020087400
1701364774.4411559	4.99300	0.964898	882.267500000	8.95	871.535013997	9.970740000	-70.30	3.361744516	0.022559720
1701364777.6729059	4.99700	0.982154	882.420000000	8.95	871.685658886	9.987430000	-70.79	3.285520301	0.020993920
1701364778.9155941	4.99400	0.987906	882.420000000	8.95	871.671284523	9.965970000	-71.17	3.216300325	0.021612040
1701364780.1223710	4.98900	0.993658	882.420000000	8.95	871.671284523	9.942130000	-71.58	3.141516603	0.026556600
1701364781.3357861	4.98600	0.999410	882.572500000	8.95	871.821926928	9.930210000	-71.77	3.106161000	0.018686430
1701364783.0382509	4.98900	1.008038	882.725000000	8.95	871.972569333	9.915900000	-72.08	3.051340393	0.021900430
1701364784.2463720	4.99000	1.013790	882.877500000	8.95	872.123211738	9.899210000	-72.36	2.999809772	0.024619940
1701364786.4521520	4.99500	1.025294	882.877500000	8.95	872.123211738	9.865840000	-72.97	2.890090644	0.023878290
1701364787.6539500	4.99400	1.031046	883.030000000	8.95	872.273854143	9.863450000	-73.01	2.881488819	0.023177770
1701364789.3547800	4.98900	1.039674	883.030000000	8.95	872.273854143	9.846760000	-73.30	2.829240851	0.022147630
1701364790.6084211	4.99300	1.045426	883.182500000	8.95	872.424496547	9.837230000	-73.59	2.779104873	0.029770600
1701364792.3384690	4.99300	1.055492	883.182500000	8.95	872.424496547	9.820540000	-73.97	2.711191185	0.014895580
1701364793.5416160	4.98000	1.061244	883.335000000	8.95	872.589528221	9.811000000	-74.18	2.674966130	0.026226980
1701364795.2610381	4.99000	1.069872	883.335000000	8.95	872.589528221	9.837230000	-74.63	2.606708210	0.029317350
1701364796.5107059	4.99200	1.075624	883.487500000	8.95	872.740173110	9.837230000	-74.73	2.590811322	0.020417060
1701364798.2431049	4.98800	1.084252	883.487500000	8.95	872.740173110	9.811000000	-75.28	2.492600400	0.023095370
1701364799.4566610	4.98900	1.090004	883.640000000	8.95	872.890817999	9.799080000	-75.58	2.440907560	0.026597810
1701364801.1633079	4.99700	1.098632	883.640000000	8.95	872.890817999	9.784770000	-75.89	2.384710634	0.020581870
1701364802.4119811	4.99700	1.104384	883.795000000	8.95	873.043932476	9.782390000	-75.97	2.371212624	0.024990810
1701364804.1413720	4.99100	1.114450	883.947500000	8.95	873.194577365	9.760890000	-76.50	2.278634518	0.021735610
1701364805.3428180	4.98300	1.120202	883.947500000	8.95	873.194577365	9.744200000	-76.84	2.218141802	0.025773700
1701364807.0612390	4.99600	1.128830	884.100000000	8.95	873.330820524	9.732280000	-77.16	2.162797054	0.020952690
1701364808.3158970	4.98800	1.134582	884.100000000	8.95	873.330820524	9.729900000	-77.26	2.146370173	0.022724540
1701364810.0566120	4.99100	1.143210	884.100000000	8.95	873.330820524	9.770470000	-77.65	2.089403668	0.022353670
