-----------------------------------------------------------------------------------
time (s) 	 Gate (V) 	 I (A) 	 RLkin (V/A) 	 pLkin (deg.) 	 XLkin (V)
1653837920.090271	110.0	2.829092e-09	803.15	2.478	802.3989716854908
1653837922.1882977	111.0	3.059874e-10	802.77	2.496	802.0083834862186
1653837924.2867017	112.0	2.030811e-09	803.075	2.508	802.3057516657751
1653837926.3831098	113.0	5.949341e-10	803.075	2.484	802.3204013845285
1653837928.4825306	114.0	3.032754e-09	802.6925	2.478	801.941899495307
1653837930.5804543	115.0	6.681081e-10	802.6925	2.508	801.9236180543288
1653837932.6918256	116.0	1.807539e-09	802.8449999999999	2.478	802.0942568920349
1653837934.7912261	117.0	1.260597e-10	802.465	2.502	801.7000088069594
1653837936.8885536	118.0	1.612078e-09	802.77	2.502	802.004718049962
1653837939.0876863	119.0	1.407142e-09	802.8449999999999	2.502	802.0796465523397
1653837941.1844342	120.0	1.050665e-09	802.6175000000001	2.478	801.8669696280638
1653837943.283466	121.0	8.768357e-10	802.235	2.496	801.4738910597888
1653837945.3875833	122.0	9.136287e-10	802.6925	2.502	801.9272919308384
1653837947.4856236	123.0	2.845286e-09	802.465	2.478	801.7146122313359
1653837949.5845516	124.0	2.363803e-09	802.16	2.496	801.3989622149621
1653837951.6889427	125.0	8.491066e-10	802.5400000000001	2.502	801.7749373093371
1653837953.8477147	126.0	2.497381e-09	802.16	2.478	801.40989743788
1653837955.97242	127.0	2.676154e-09	802.465	2.484	801.7109745628187
1653837958.0704823	128.0	2.394333e-09	802.0075	2.484	801.2539044465365
1653837960.1706326	129.0	1.751175e-09	802.0825	2.508	801.3142023602577
1653837962.2675216	130.0	2.005471e-09	802.3125	2.496	801.5513175327762
1653837964.3760705	131.0	1.269076e-09	801.7775	2.49	801.0204772267299
1653837966.47348	132.0	1.285638e-09	802.0075	2.508	801.2392742011507
1653837968.570902	133.0	2.506237e-09	802.16	2.49	801.4026160776444
1653837970.6676688	134.0	2.490053e-10	801.855	2.478	801.1051826444241
1653837972.7651255	135.0	3.033822e-09	801.7025	2.502	800.9382356994528
1653837975.0474842	136.0	1.312748e-09	802.0075	2.478	801.2575400411521
1653837977.1452386	137.0	1.228286e-09	801.5500000000001	2.49	800.7931920278198
1653837979.2416573	138.0	2.626628e-09	801.7025	2.508	800.9345663541151
1653837981.3789492	139.0	1.311802e-09	801.7025	2.508	800.9345663541151
