----------------------------------------------------------------------------------------------------------------------
time (s)	T (K)	B (T)	R1 (Ohm)	Theta1 (deg.)	 X1 (Ohm)	 R2 (Ohm)	 Theta2 (deg.)	 X2 (Ohm)	 I_leak(nA)
1701278434.4692690	4.99800	0.172560	988.775000000	8.50	977.909058094	18.520400000	-57.95	9.828567183	0.022765700
1701278436.6677649	4.99300	0.184064	989.080000000	8.50	978.226014110	18.477500000	-58.19	9.740114513	0.023795830
1701278437.9194231	4.99900	0.189816	989.232500000	8.50	978.376840602	18.468000000	-58.25	9.717022351	0.017656240
1701278439.6494589	4.99600	0.199882	989.690000000	8.49	978.844626538	18.444100000	-58.38	9.669931452	0.015637230
1701278440.8492601	5.00400	0.205634	989.842500000	8.49	978.995455389	18.415500000	-58.55	9.608914639	0.021570760
1701278442.5517199	4.99700	0.214262	990.147500000	8.50	979.281799557	18.425100000	-58.75	9.557899310	0.018562770
1701278443.7624919	4.99700	0.220014	990.452500000	8.50	979.583452542	18.410800000	-58.87	9.519145016	0.019675310
1701278445.5191629	4.99800	0.228642	990.605000000	8.50	979.734279034	18.386900000	-59.03	9.462250343	0.024578740
1701278446.7255940	5.00300	0.234394	990.757500000	8.49	979.900428495	18.372600000	-59.09	9.438389590	0.022683310
1701278448.4559810	5.00700	0.243022	991.215000000	8.49	980.352915048	18.382100000	-59.14	9.430054297	0.018851210
1701278449.6641200	4.99300	0.248774	991.367500000	8.49	980.503743899	18.382100000	-59.32	9.380436768	0.015431200
1701278451.4244230	4.99100	0.257402	991.672500000	8.48	980.820727965	18.363100000	-59.47	9.327708777	0.016008090
1701278452.6401870	4.99800	0.264592	991.825000000	8.49	980.956230452	18.348800000	-59.51	9.310512350	0.018933640
1701278454.3576009	4.99800	0.273220	992.130000000	8.48	981.273221588	18.301100000	-59.81	9.203609761	0.022477280
1701278455.5670230	5.00300	0.278972	992.285000000	8.48	981.426525439	18.286800000	-60.05	9.128470078	0.021900390
1701278457.3343120	5.00100	0.287600	992.590000000	8.48	981.728187855	18.291500000	-60.17	9.097601089	0.014689520
1701278458.5394540	4.99200	0.293352	992.742500000	8.48	981.894351196	18.277200000	-60.26	9.065570667	0.022024040
1701278460.7565429	5.00700	0.304856	993.200000000	8.48	982.331512686	18.224800000	-60.63	8.938307960	0.018974830
1701278461.9629700	4.99200	0.310608	993.352500000	8.48	982.482343894	18.239100000	-60.80	8.897009570	0.024867180
1701278463.6647990	4.99500	0.319236	993.505000000	8.48	982.633175102	18.181900000	-61.16	8.770874213	0.022930530
1701278464.8752091	4.99700	0.324988	993.810000000	8.48	982.934837518	18.196200000	-61.11	8.791122436	0.022188850
1701278466.6318870	4.99200	0.333616	994.115000000	8.48	983.251853264	18.167600000	-61.30	8.723952148	0.025196820
1701278467.8336771	5.00000	0.339368	994.267500000	8.48	983.402686827	18.158000000	-61.37	8.699320300	0.014112660
1701278469.5637090	4.99300	0.349434	994.572500000	8.47	983.719703562	18.158000000	-61.67	8.617421577	0.021282350
1701278470.7744811	4.99500	0.355186	994.572500000	8.47	983.719703562	18.119900000	-61.90	8.535804063	0.019675330
1701278472.4792950	5.00100	0.363814	995.030000000	8.48	984.156854643	18.115100000	-61.91	8.530196043	0.020375810
1701278473.7279630	5.00000	0.369566	995.182500000	8.48	984.307688206	18.086500000	-62.11	8.459864671	0.015760810
1701278475.4599910	5.00300	0.378194	995.335000000	8.48	984.458521769	18.034100000	-62.44	8.345083665	0.023342610
1701278476.6597910	4.99800	0.383946	995.487500000	8.48	984.609355332	18.067400000	-62.53	8.335323677	0.026185740
1701278478.3622501	4.99700	0.392574	995.792500000	8.47	984.926390896	18.053100000	-62.69	8.281726172	0.023548620
1701278479.5733831	5.00700	0.398326	995.945000000	8.47	985.077226812	18.024500000	-62.84	8.226648015	0.021488380
1701278481.3313370	4.99200	0.406954	996.250000000	8.47	985.378898646	18.005400000	-62.99	8.177640388	0.023466200
1701278482.5384760	4.99900	0.414144	996.402500000	8.47	985.545101607	18.015000000	-63.16	8.133221724	0.022271290
1701278484.7645400	4.99200	0.424210	996.710000000	8.47	985.833879116	18.015000000	-63.35	8.079309849	0.014977920
1701278485.9689741	4.99700	0.431400	996.862500000	8.47	985.984715033	17.991100000	-63.50	8.028151496	0.022765710
1701278487.6717889	4.99700	0.440028	997.167500000	8.47	986.301765709	17.962500000	-63.67	7.968220658	0.023795860
1701278488.8804059	4.98500	0.445780	997.320000000	8.47	986.452603977	17.962500000	-63.68	7.964848839	0.014936740
1701278490.6315441	4.99000	0.454408	997.625000000	8.47	986.754280515	17.938700000	-63.85	7.907116075	0.025814910
1701278491.8476610	4.99400	0.460160	997.777500000	8.46	986.920496211	17.948200000	-64.03	7.858962130	0.022023990
1701278493.5660789	4.99600	0.468788	997.930000000	8.47	987.055957052	17.938700000	-64.26	7.790563030	0.019881360
